drug_name,reaction_name,count
DOXORUBICIN TEVA,Cholestasis,1
DOXORUBICIN TEVA,Hepatocellular injury,1
DOXORUBICIN TEVA,Pyrexia,1
DOXYCYCLINE,Erection increased,1
DOXYCYCLINE HYCLATE,Drug hypersensitivity,1
DURAGESIC,Drug dose omission,1
DURAGESIC,Product adhesion issue,1
DURAGESIC-100,DRUG ADMINISTRATION ERROR,1
DIOVAN,Emphysema,1
DIOVAN,Malaise,1
DIOVAN,Neoplasm malignant,1
DIOVAN,Pneumonia,1
DIOVAN,Spinal column stenosis,1
EFFEXOR,Activities of daily living impaired,1
EFFEXOR,Nausea,1
EFFEXOR,Wrong technique in drug usage process,1
EFFEXOR XR,Chest discomfort,1
EFFEXOR XR,Chest pain,1
EFFEXOR XR,Drug ineffective,1
EFFEXOR XR,Feeling abnormal,1
